合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,418.00,418.70,418.00,418.60,0.83,0.20%,418.59,216.00,"90,417,000.00",-,,
Au99.99,418.00,418.89,417.50,418.19,0.98,0.23%,418.54,"18,403.92","7,678,692,038.00",-,,
Au100g,419.00,419.88,418.00,418.80,0.89,0.21%,418.94,12.80,"5,362,472.00",-,,
iAu99.99,415.66,416.90,415.41,416.51,0.99,0.24%,416.58,476.12,"198,345,437.00",-,,
Au(T+D),417.55,418.78,417.30,418.22,1.33,0.32%,418.37,"10,614.00","4,440,644,740.00","141,772",多支付给空,"10,984"
Au(T+N1),-,-,-,-,,,-,0.00,0.00,"60,450",,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"93,468",,
mAu(T+D),418.00,418.99,417.50,418.30,1.06,0.25%,418.45,"4,289.20","1,794,839,134.00","796,242",多支付给空,"81,556"
Pt99.95,237.80,239.89,237.80,238.50,-0.95,-0.40%,238.24,108.00,"25,730,580.00",-,,
Ag(T+D),"5,274","5,315","5,236","5,280",20,0.38%,"5,284","518,030.00","2,737,683,152.00","3,603,814",多支付给空,990
NYAuTN06,418.15,419.30,417.70,418.80,2.25,0.54%,418.55,89.00,"37,253,420.00","30,480",,
NYAuTN12,421.40,427.00,421.10,422.95,2.10,0.50%,422.80,213.40,"90,221,790.00","11,092",,
PGC30g,423.96,423.96,423.96,423.96,1.41,0.33%,423.96,0.06,"25,437.60",-,,
