version_date,title,brief,keyword,url
2023-01-23 20:10:12,红红火火庆新春 幸福美满中国年,新春佳节，各地的人们以丰富多彩的方式欢度春节，在喜庆美满的节日氛围中，祝福新的一年幸福安康。,红红火火 庆新春 中国年,https://news.cctv.com/2023/01/23/ARTIUmsp7gspPxCEjUTOxjHv230123.shtml
2023-01-23 20:07:01,不忘初心，志存高远，新春我在岗！,大年初一是举国欢庆、举家团圆的日子。在祖国的大江南北，仍有这样一群人，他们一如既往坚守岗位，心系祖国建设、守护百姓健康。他们以专业的技能和奋斗的姿态，共同奏响了一曲新春奋进的“交响乐”！,钻探 基层 铁道兵,https://news.cctv.com/2023/01/23/ARTIfG3plx5eWlv5S4PXfB8l230123.shtml
2023-01-23 20:03:16,【总书记的惦念】糍粑越打越黏 日子越过越甜,2016年春节前夕，习近平总书记来到井冈山革命老区的神山村，看望慰问贫困群众，共商脱贫致富之策。7年过去了，神山村的老百姓现在过得怎么样？春节期间，我们的记者来到神山村，记录下了这片红土地上的“幸福滋味”。,习近平,https://news.cctv.com/2023/01/23/ARTIDd9OPUDWOxxMJcFZytdo230123.shtml
2023-01-23 19:59:55,新疆玛纳斯县：社火“耍”出幸福年味,“箫鼓分曹社火齐，登场相赛舞狻猊。”大年初一，一场社火表演点燃了新疆昌吉回族自治州(以下简称昌吉州)玛纳斯县的年味，这座位于天山北麓的小城热闹又红火，街巷内锣鼓阵阵，红绸飞舞。,社火 玛纳斯县 非物质文化遗产,https://news.cctv.com/2023/01/23/ARTIVOQhRUg9aulAl3gYQjrS230123.shtml
2023-01-23 19:58:14,观影观演热情高、博物馆里涨知识 文化活动异彩纷呈扮靓“文化年”,大银幕上，多部国产影片匠心独运、引人入胜；博物馆中，文物上的兔子或奔或伏、憨态可掬；聚光灯下，好戏轮番上演、应接不暇……春节是中国优秀传统文化的重要载体，蕴含着中华民族文化的智慧结晶。近年来，越来越多的文化活动加入人们的春节计划，成为春节的“新年俗”，不仅使假期生活更加有滋有味，也让中华文化所蕴含的价值观与智慧更加深入人心。,满江红 流浪地球 熊出没,https://news.cctv.com/2023/01/23/ARTIMh1VTIE4rGq12SW7v2NV230123.shtml
2023-01-23 19:56:23,【每日一习话·温暖聆听】爱国主义是我们民族精神的核心,爱国主义揭示了个人对祖国的依存关系，体现着人们对祖国的深厚情感。千百年来，爱国主义精神深深根植于中华儿女心中，维系着中华大地上各民族的团结统一，激励着一代又一代中华儿女为祖国繁荣发展而自强不息、不懈奋斗。,中国式现代化 爱国主义精神 民族精神,https://news.cctv.com/2023/01/23/ARTIyB3zleYyx7QaXGU8ehQo230123.shtml
2023-01-23 19:55:45,高原台胞的年夜饭：思亲情浓处 味蕾慰“乡愁”,除夕下午，最后一道“菜脯蛋”出锅，陈志明家的年夜饭餐桌完整了，这道菜制作简单，却令他忆起旧时滋味。,乡愁 味蕾 高原,https://news.cctv.com/2023/01/23/ARTI3LqY3xmoDCkAh0HfG1ZH230123.shtml
2023-01-23 19:54:38,（新春见闻）澳门喜迎八方来客 小城尽展新春韵味,238米长的大金龙从澳门大三巴牌坊出发，大年初一和初二在澳门多个地区巡游表演。金龙勇猛有力，伴随金龙的小狮灵动活泼，财神、福禄寿三星、金童玉女、兔生肖及澳门特区旅游吉祥物“麦麦”也向游人拜年及派送金元宝……,澳门 小城 游客,https://news.cctv.com/2023/01/23/ARTIBJQnIFc6PuOcpjicQM0h230123.shtml
2023-01-23 19:52:55,（新春走基层）六旬台商在长春八过除夕：他乡变家乡,农历大年初一，64岁的台商赖丽华早早来到酒店大堂，给员工们发红包，和大家一起为新春祈福，品尝台湾美食凤梨酥。“凤梨的闽南语发音与‘旺来’相似，寓意新的一年福来运旺。”赖丽华说。,赖丽华 基层 世界遗产名录,https://news.cctv.com/2023/01/23/ARTIxSQqNBrTlZvWljzYQ9kd230123.shtml
2023-01-23 19:50:59,（新春见闻）“虎”尽“兔”来 香港街头年味浓,寅虎辞旧岁，卯兔报春来。因是放开社交距离措施后的第一个春节，今年过年期间香港街头巷尾透着浓浓的喜庆氛围，较前几年亦增添了几分热闹。,香港海洋公园 通关 商圈,https://news.cctv.com/2023/01/23/ARTIQhFqe6yhb9GQwcew0uvx230123.shtml
